#! dEb_Eb[f,0]/  dP_P[f,1]/   dth[f,2]/    total_chi2[f,3]/    total_redChi2[f,4]/    total_chi2_elec[f,5]/    total_redChi2_elec[f,6]/    total_chi2_prot[f,7]/    total_redChi2_prot[f,8]/ 
0.0008    -0.0015    -0.0005    2480.6186    130.5589    1119.4062    74.6271    1361.2124    1361.2124
0.0006    -0.0015    -0.0005    2493.4391    131.2336    1167.3579    77.8239    1326.0812    1326.0812
0.001    -0.0015    -0.0005    2544.2945    133.9102    1133.4913    75.5661    1410.8032    1410.8032
0.0004    -0.0015    -0.0005    2582.7559    135.9345    1277.3464    85.1564    1305.4095    1305.4095
0.001    -0.001    -0.0005    2663.0404    140.16    1423.9442    94.9296    1239.0962    1239.0962
0.0006    -0.0025    0.0    2688.57    141.5037    1433.6404    95.576    1254.9296    1254.9296
0.0008    -0.0025    0.0    2692.7761    141.7251    1473.8125    98.2542    1218.9636    1218.9636
0.001    0.0    -0.001    2693.7821    141.778    1601.1631    106.7442    1092.6189    1092.6189
0.0002    -0.0015    -0.0005    2748.5691    144.6615    1449.3718    96.6248    1299.1974    1299.1974
0.0004    -0.0025    0.0    2760.8603    145.3084    1455.5052    97.0337    1305.3552    1305.3552
0.001    -0.0025    0.0    2773.4786    145.9726    1576.0214    105.0681    1197.4572    1197.4572
0.0008    -0.0005    -0.001    2796.8866    147.2046    938.8293    62.5886    1858.0573    1858.0573
0.0006    -0.0005    -0.001    2826.7336    148.7755    1074.9047    71.6603    1751.8288    1751.8288
0.001    -0.0005    -0.001    2843.536    149.6598    864.7906    57.6527    1978.7453    1978.7453
0.0002    -0.0025    0.0    2909.647    153.1393    1539.4068    102.6271    1370.2402    1370.2402
0.0004    -0.0005    -0.001    2933.0769    154.3725    1273.017    84.8678    1660.0599    1660.0599
-0.0    -0.0015    -0.0005    2990.8787    157.4147    1683.434    112.2289    1307.4448    1307.4448
0.0008    -0.001    -0.0005    3042.9686    160.1562    1711.2397    114.0826    1331.729    1331.729
0.0008    0.0    -0.001    3090.7368    162.6704    1976.5823    131.7722    1114.1545    1114.1545
0.0002    -0.0005    -0.001    3115.9167    163.9956    1533.1661    102.2111    1582.7506    1582.7506
-0.0    -0.0025    0.0    3134.9301    164.9963    1685.3452    112.3563    1449.5849    1449.5849
0.001    -0.002    0.0    3160.7242    166.3539    1420.5547    94.7036    1740.1695    1740.1695
0.001    0.001    -0.0015    3252.9492    171.2079    1952.2115    130.1474    1300.7377    1300.7377
